"id","code","name","parent_id:id","type","user_type:id","reconcile"
"153","153","Poskytnuté zálohy na zboží","15","other","account_type_fixed_assets","FALSE"

"19","19","Opravné položky k zásobám","1","view","account_type_view","FALSE"
"191","191","Opravná položka k materiálu","19","other","account_type_fixed_assets","FALSE"
"192","192","Opravná položka k nedokončené výrobě","19","other","account_type_fixed_assets","FALSE"
"193","193","Opravná položka k polotovarům vlastní výroby","19","other","account_type_fixed_assets","FALSE"
"194","194","Opravná položka k výrobkům","19","other","account_type_fixed_assets","FALSE"
"195","195","Opravná položka ke zvířatům","19","other","account_type_fixed_assets","FALSE"
"196","196","Opravná položka ke zboží","19","other","account_type_fixed_assets","FALSE"
"197","197","Opravná položka k zálohám na materiál","19","other","account_type_fixed_assets","FALSE"
"198","198","Opravná položka k zálohám na zboží","19","other","account_type_fixed_assets","FALSE"
"199","199","Opravná položka k zálohám na zvířata","19","other","account_type_fixed_assets","FALSE"

"2","2","Finanční účty","account_template_root","view","account_type_view","FALSE"

"21","21","Peníze","2","view","account_type_view","FALSE"
"211","211","Pokladna","21","liquidity","account_type_fixed_assets","FALSE"
"213","213","Ceniny","21","other","account_type_fixed_assets","FALSE"

"22","22","Účty v bankách","2","view","account_type_view","FALSE"
"221","221","Bankovní účty","22","liquidity","account_type_fixed_assets","FALSE"

"23","23","Běžné bankovní úvěry","2","view","account_type_view","FALSE"
"231","231","Krátkodobé bankovní úvěry","23","other","account_type_current_liabilities","FALSE"
"232","232","Eskontní úvěry","23","other","account_type_current_liabilities","FALSE"

"24","24","Jiné krátkodobé finanční výpomoci","2","view","account_type_view","FALSE"
"241","241","Emitované krátkodobé dluhopisy","24","other","account_type_current_liabilities","FALSE"
"249","249","Ostatní krátkodobé finanční výpomoci","24","other","account_type_current_liabilities","FALSE"

"25","25","Krátkodobý finanční majetek","2","view","account_type_view","FALSE"
"251","251","Registrované majetkové cenné papíry k obchodování","25","other","account_type_fixed_assets","FALSE"
"252","252","Vlastní akcie a vlastní obchodní podíly","25","other","account_type_current_liabilities","FALSE"
"253","253","Registrované dluhové cenné papíry k obchodování","25","other","account_type_fixed_assets","FALSE"
"255","255","Vlastní dluhopisy","25","other","account_type_current_liabilities","FALSE"
"256","256","Dluhové cenné papíry se splatností do jednoho roku držené do splatnosti","25","other","account_type_fixed_assets","FALSE"
"257","257","Ostatní cenné papíry k obchodování","25","other","account_type_fixed_assets","FALSE"
"259","259","Pořizování krátkodobého finančního majetku","25","other","account_type_fixed_assets","FALSE"

"26","26","Převody mezi finančními účty","2","view","account_type_view","FALSE"
"261","261","Peníze na cestě","26","other","account_type_fixed_assets","FALSE"

"29","29","Opravné položky ke krátkodobému finančnímu majetku","2","view","account_type_view","FALSE"
"291","291","Opravná položka ke krátkodobému finančnímu majetku","29","other","account_type_fixed_assets","FALSE"

"3","3","Zúčtovací vztahy","account_template_root","view","account_type_view","FALSE"

"31","31","Pohledávky (krátkodobé i dlouhodobé)","3","view","account_type_view","FALSE"
"311","311","Pohledávky z obchodních vztahů","31","other","account_type_receivable","FALSE"
"312","312","Směnky k inkasu","31","other","account_type_receivable","FALSE"
"313","313","Pohledávky za eskontované cenné papíry","31","other","account_type_receivable","FALSE"
"314","314","Poskytnuté provozní zálohy","31","other","account_type_receivable","FALSE"
"315","315","Ostatní pohledávky","31","other","account_type_receivable","FALSE"

"32","32","Závazky (krátkodobé)","3","view","account_type_view","FALSE"
"321","321","Závazky z obchodních vztahů","32","other","account_type_payable","FALSE"
"322","322","Směnky k úhrade","32","other","account_type_payable","FALSE"
"324","324","Přijaté provozní zálohy","32","other","account_type_payable","FALSE"
"325","325","Ostatní závazky","32","other","account_type_payable","FALSE"

"33","33","Zúčtování se zaměstnanci a institucemi","3","view","account_type_view","FALSE"
"331","331","Zaměstnanci","33","other","account_type_current_liabilities","FALSE"
"333","333","Ostatní závazky vůči zaměstnancům","33","other","account_type_current_liabilities","FALSE"
"335","335","Pohledávky za zaměstnanci","33","other","account_type_current_liabilities","FALSE"
"336","336","Zúčtování s institucemi sociálního zabezpečení a zdravotního pojištení","33","other","account_type_current_liabilities","FALSE"

"34","34","Zúčtování daní a dotací","3","view","account_type_view","FALSE"
"341","341","Daň z příjmu","34","other","account_type_current_liabilities","FALSE"
"342","342","Ostatní přímé daně","34","other","account_type_current_liabilities","FALSE"
"343","343","Daň z přidané hodnoty","34","other","account_type_current_liabilities","FALSE"
"345","345","Ostatní daně a poplatky","34","other","account_type_current_liabilities","FALSE"
"346","346","Dotace ze státního rozpočtu","34","other","account_type_current_liabilities","FALSE"
"347","347","Ostatní dotace","34","other","account_type_current_liabilities","FALSE"

"35","35","Pohledávky za společníky, za účastníky sdružení a za členy družstva","3","view","account_type_view","FALSE"
"351","351","Pohledávky za ovládanými a řízenými osobami","35","other","account_type_current_assets","FALSE"
"352","352","Pohledávky za účetními jednotkami pod podstatným vlivem","35","other","account_type_current_assets","FALSE"
"353","353","Pohledávky za upsaný základní kapitál","35","other","account_type_current_assets","FALSE"
"354","354","Pohledávky za společníky při úhradě ztráty","35","other","account_type_current_assets","FALSE"
"355","355","Ostatní pohledávky za společníky a členy družstva","35","other","account_type_current_assets","FALSE"
"358","358","Pohledávky za účastníky sdružení","35","other","account_type_current_assets","FALSE"

"36","36","Závazky ke společníkům, k účastníkům sdružení a ke členům družstva","3","view","account_type_view","FALSE"
"361","361","Závazky k ovládaným a řízeným osobám","36","other","account_type_current_liabilities","FALSE"
"362","362","Závazky k osobám pod podstatným vlivem","36","other","account_type_current_liabilities","FALSE"
"364","364","Závazky ke společníkům při rozdělování zisku","36","other","account_type_current_liabilities","FALSE"
"365","365","Ostatní závazky ke společníkům a členům družstva","36","other","account_type_current_liabilities","FALSE"
"366","366","Závazky ke společníkum a členům družstva ze závislé činnosti","36","other","account_type_current_liabilities","FALSE"
"367","367","Závazky z upsaných nesplacených cenných papírů a vkladů","36","other","account_type_current_liabilities","FALSE"
"368","368","Závazky k účastníkům sdružení","36","other","account_type_current_liabilities","FALSE"

"37","37","Jiné pohledávky a závazky","3","view","account_type_view","FALSE"
"371","371","Pohledávky z prodeje podniku","37","other","account_type_current_assets","FALSE"
"372","372","Závazky z koupě podniku","37","other","account_type_current_liabilities","FALSE"
"373","373","Pohledávky a závazky z pevných termínových operací","37","other","account_type_current_assets","FALSE"
"374","374","Pohledávky z pronájmu","37","other","account_type_current_assets","FALSE"
"375","375","Pohledávky z emitovaných dluhopisů","37","other","account_type_current_assets","FALSE"
"376","376","Nakoupené opce","37","other","account_type_current_assets","FALSE"
"377","377","Prodané opce","37","other","account_type_current_liabilities","FALSE"
"378","378","Jiné pohledávky","37","other","account_type_current_assets","FALSE"
"379","379","Jiné závazky","37","other","account_type_current_liabilities","FALSE"

"38","38","Přechodné účty aktiv a pasiv","3","view","account_type_view","FALSE"
"381","381","Náklady príštích období","38","other","account_type_current_assets","FALSE"
"382","382","Komplexní náklady príštích období","38","other","account_type_current_assets","FALSE"
"383","383","Výdaje príštích období","38","other","account_type_current_liabilities","FALSE"
"384","384","Výnosy príštích období","38","other","account_type_current_liabilities","FALSE"
"385","385","Příjmy príštích období","38","other","account_type_current_assets","FALSE"
"386","386","Kursové rozdíly aktivní","38","other","account_type_current_assets","FALSE"
"387","387","Kursové rozdíly pasivní","38","other","account_type_current_liabilities","FALSE"
"388","388","Dohadné účty aktivní","38","other","account_type_current_assets","FALSE"
"389","389","Dohadné účty pasivní","38","other","account_type_current_liabilities","FALSE"

"39","39","Opravná položka k zúčtovacím vztahům a vnitřní zúčtování","3","view","account_type_view","FALSE"
"391","391","Opravná položka k pohledávkám","39","other","account_type_current_assets","FALSE"
"395","395","Vnitřní zúčtování","39","other","account_type_current_assets","FALSE"
"398","398","Spojovací účet při sdružení","39","other","account_type_current_assets","FALSE"

"4","4","Kapitálové účty a dlouhodobé závazky","account_template_root","view","account_type_view","FALSE"

"41","41","Základní kapitál a kapitálové fondy","4","view","account_type_view","FALSE"
"411","411","Základní kapitál","41","other","account_type_equity","FALSE"
"412","412","Emisní ážio","41","other","account_type_current_liabilities","FALSE"
"413","413","Ostatní kapitálové fondy","41","other","account_type_current_liabilities","FALSE"
"414","414","Oceňovací rozdíly z precenění majetku a závazků","41","other","account_type_current_liabilities","FALSE"
"417","417","Rozdíly z přeměn společností","41","other","account_type_current_liabilities","FALSE"
"418","418","Oceňovací rozdíly z přecenění pri přeměnách","41","other","account_type_current_liabilities","FALSE"
"419","419","Změny základního kapitálu","41","other","account_type_current_liabilities","FALSE"

"42","42","Fondy ze zisku a převedené výsledky hospodaření","4","view","account_type_view","FALSE"
"421","421","Zákonný rezervní fond","42","other","account_type_current_liabilities","FALSE"
"422","422","Nedělitelný fond","42","other","account_type_current_liabilities","FALSE"
"423","423","Statutární fondy","42","other","account_type_current_liabilities","FALSE"
"427","427","Ostatní fondy","42","other","account_type_current_liabilities","FALSE"
"428","428","Nerozdělený zisk minulých let","42","other","account_type_current_liabilities","FALSE"
"429","429","Neuhrazená ztráta minulých let","42","other","account_type_current_liabilities","FALSE"

"43","43","Výsledek hospodaření","4","view","account_type_view","FALSE"
"431","431","Výsledek hospodarení ve schvalovacím řízení","43","other","account_type_current_liabilities","FALSE"

